id;track_name;genre;artist_name;topic;release_date
0;mohabbat bhi jhoothi;pop;mukesh;sadness;1950
1;i believe;pop;frankie laine;world/life;1950
2;if you've got the money i've got the time;country;lefty frizzell;night/time;1950
3;i want to be with you always;country;lefty frizzell;music;1950
4;how about rocking with me;blues;piney brown;obscene;1950
5;midnight blues;blues;the ravens;music;1950
6;it's the talk of the town;jazz;gene ammons;sadness;1950
7;you go to my head;jazz;gene ammons;violence;1950
8;just you;reggae;prince buster;obscene;1963
9;they got to come;reggae;prince buster;violence;1963
10;big fool;rock;ronnie self;sadness;1955
11;bop-a-lena;rock;ronnie self;obscene;1955
12;ghetto music;hip hop;boogie down productions;music;1989
13;jack of spades;hip hop;boogie down productions;obscene;1989
